Welk document ligt nog thuis?|Which document is still at home?|کدام مدرک هنوز در خانه است؟
Hallo clubleden, voor elke winterwandeling nemen we de avond ervoor een beslissing. We bekijken de omstandigheden en plaatsen dan de definitieve informatie op onze vaste plek. Kijk daar vóór je vertrekt, ook als je eerder al een uitnodiging kreeg.|Hello club members, we decide about each winter walk the evening before. We review conditions and post the final information in our usual place. Check there before leaving even if you already received an invitation.|اعضای باشگاه، برای هر پیاده‌روی زمستانی شب قبل تصمیم می‌گیریم. شرایط را بررسی و خبر نهایی را در جای همیشگی می‌گذاریم. پیش از حرکت آنجا را ببینید، حتی اگر دعوت قبلی دارید.
Ik controleer de definitieve informatie de avond ervoor. Kunt u de vaste plek nog eens doorgeven? Dan weet ik waar ik kijk als het weer verandert.|I will check the final information the evening before. Could you repeat where it is posted? Then I know where to look if the weather changes.|خبر نهایی را شب قبل بررسی می‌کنم. محل انتشار را دوباره می‌گویید تا اگر هوا عوض شد بدانم کجا ببینم؟

Wat raadpleegt Lina wanneer ze twijfelt over afval?|What does Lina consult when unsure about waste?|لینا هنگام تردید درباره زباله چه بررسی می‌کند؟
De plaatselijke sorteerwijzer.|The local sorting guide.|راهنمای تفکیک محلی.
Een willekeurige foto van afvalbakken.|A random picture of bins.|عکسی تصادفی از سطل‌ها.
Dag opruimgroep, ik twijfel wat in de restafvalbak hoort. Ik lees eerst de plaatselijke sorteerwijzer. Willen jullie daarna helpen om duidelijke voorbeelden op onze borden te schrijven? Dan hoeven bezoekers niet te gokken.|Hello clean-up group, I am unsure what belongs in general waste. I will read the local sorting guide first. Could you then help write clear examples on our signs so visitors do not have to guess?|سلام گروه نظافت، مطمئن نیستم چه چیزی در زباله معمولی می‌رود. اول راهنمای محلی را می‌خوانم. بعد برای نوشتن مثال روشن روی تابلوها کمک می‌کنید تا بازدیدکنندگان حدس نزنند؟
Ik help met de borden nadat we de plaatselijke uitleg gecontroleerd hebben. We schrijven voorbeelden die bij deze inzameling passen en vragen uitleg als iets onduidelijk blijft.|I will help with the signs after we check the local guidance. We will write examples suitable for this collection and ask if anything remains unclear.|بعد از بررسی راهنمای محلی با تابلوها کمک می‌کنم. مثال مناسب این جمع‌آوری می‌نویسیم و هرجا نامفهوم بود توضیح می‌خواهیم.

Welk voorwerp houdt Koen apart?|Which item does Koen keep separate?|کون کدام وسیله را جدا می‌گذارد؟
De batterij.|The battery.|باتری.
De hark.|The rake.|شن‌کش.
Hallo, Koen hier. Ik vond een batterij tussen het groenafval. Ik houd die apart en zoek het juiste inzamelpunt op. De andere voorwerpen sorteren we volgens de gemeentelijke uitleg. Kun je mee de informatie opzoeken?|Hello, Koen here. I found a battery among the garden waste. I am keeping it separate and looking up the right collection point. We will sort the other items using municipal guidance. Can you help find the information?|سلام، کون هستم. بین زباله باغ باتری پیدا کردم. جدا می‌گذارم و محل جمع‌آوری درست را پیدا می‌کنم. بقیه را طبق راهنمای شهرداری جدا می‌کنیم. برای پیدا کردن اطلاعات کمک می‌کنی؟
Ik zoek mee naar het juiste inzamelpunt voor de batterij. We controleren de gemeentelijke informatie en houden twijfelachtige voorwerpen apart tot we weten waar ze horen.|I will help find the battery collection point. We will check municipal information and keep uncertain items separate until we know where they belong.|برای پیدا کردن محل باتری کمک می‌کنم. اطلاعات شهرداری را بررسی می‌کنیم و موارد نامطمئن را تا روشن شدن محلشان جدا می‌گذاریم.

Bij welk kledingstuk klopt het maatkaartje niet met de pasvorm?|Which garment's size label does not match its fit?|برچسب اندازه کدام لباس با تن‌خورش جور نیست؟
Het hemd.|The shirt.|پیراهن.
De rok.|The skirt.|دامن.
Goedendag, dit hemd lijkt kleiner dan de maat op het kaartje. We willen het eerst nameten voordat we een ander exemplaar kiezen. Kunt u ons helpen de maat en pasvorm te vergelijken?|Hello, this shirt seems smaller than the size on the label. We want to measure it before choosing another. Could you help compare its size and fit?|سلام، این پیراهن از اندازه روی برچسب کوچک‌تر به نظر می‌رسد. پیش از انتخاب دیگری می‌خواهیم اندازه بگیریم. برای مقایسه اندازه و تن‌خور کمک می‌کنید؟
Natuurlijk, we vergelijken eerst de maten. Alleen het kaartje is blijkbaar niet voldoende. Daarna kunt u een ander hemd passen en controleren of dat werkelijk beter zit.|Of course, we will compare the measurements first. The label alone apparently is not enough. Then you can try another shirt and check whether it actually fits better.|حتماً، اول اندازه‌ها را مقایسه می‌کنیم. ظاهراً برچسب کافی نیست. بعد پیراهن دیگری امتحان می‌کنید تا ببینید واقعاً بهتر است یا نه.

Welk gebrek meldt Nisa bij de kledingruil?|Which defect does Nisa disclose at the clothes swap?|نیسا در مبادله لباس چه ایرادی را خبر می‌دهد؟
Een losse knoop aan de jurk.|A loose button on the dress.|دکمه شل روی پیراهن زنانه.
Een kapotte rits aan de jas.|A broken zip on the coat.|زیپ خراب کت.
Dag, ik wil deze jurk ruilen, maar er zit een losse knoop aan. Dat zeg ik liever vooraf. Verder heb ik een T-shirt en een sjaal bij. Mijn muts en riem houd ik zelf. Wil iemand de jurk herstellen?|Hello, I want to swap this dress, but it has a loose button. I would rather say so first. I also brought a T-shirt and scarf. I am keeping my hat and belt. Would anyone like to repair the dress?|سلام، می‌خواهم این پیراهن را مبادله کنم، ولی دکمه‌اش شل است؛ بهتر است از قبل بگویم. تی‌شرت و شال هم آوردم. کلاه و کمربند را نگه می‌دارم. کسی می‌خواهد پیراهن را تعمیر کند؟
Bedankt dat je de losse knoop vermeldt. Ik bekijk de jurk en beslis of ik die kan herstellen. Zo weet ik vooraf wat ik bij de ruil krijg.|Thanks for mentioning the loose button. I will look at the dress and decide whether I can repair it. Then I know beforehand what I get in the swap.|ممنون که دکمه شل را گفتی. لباس را می‌بینم و تصمیم می‌گیرم می‌توانم درستش کنم یا نه. این‌طور از قبل می‌دانم در مبادله چه می‌گیرم.

Hoe lossen de sporters het tekort aan rackets op?|How do the players solve the racket shortage?|ورزشکاران کمبود راکت را چگونه حل می‌کنند؟
Ze spreken korte oefenbeurten af.|They arrange short practice turns.|نوبت‌های کوتاه تمرین می‌گذارند.
Ze stoppen alle activiteiten.|They stop all activities.|همه فعالیت‌ها را قطع می‌کنند.
Hoi sporters, twee mensen willen hetzelfde racket. We spreken korte beurten af en proberen tussendoor een andere activiteit. Bespreek samen wie eerst begint en wanneer jullie wisselen. Zo krijgt iedereen een kans.|Hi players, two people want the same racket. We will arrange short turns and try another activity in between. Agree who starts and when you switch so everyone gets a chance.|سلام ورزشکاران، دو نفر یک راکت می‌خواهند. نوبت کوتاه می‌گذاریم و بینش کار دیگری امتحان می‌کنیم. توافق کنید چه کسی اول باشد و کی عوض کنید تا همه فرصت داشته باشند.
Laten we om de beurt oefenen. Jij kunt eerst het racket gebruiken terwijl ik een andere activiteit probeer. Daarna wisselen we op het afgesproken moment.|Let us take turns practising. You can use the racket first while I try another activity. Then we will switch at the agreed time.|نوبتی تمرین کنیم. تو اول راکت را بگیر و من فعالیت دیگری امتحان می‌کنم. بعد در وقت توافق‌شده عوض می‌کنیم.

Hoe vindt de begeleider de ontbrekende sportspullen terug?|How does the supervisor trace the missing sports equipment?|سرپرست وسایل ورزشی گمشده را چطور پیگیری می‌کند؟
Via de uitleenlijst.|Using the lending list.|با فهرست امانت.
Door iedereen te beschuldigen.|By accusing everyone.|با متهم کردن همه.
Hallo, na de sportdag ontbreken een zwembril en een stopwatch. Ik controleer de uitleenlijst voordat ik mensen aanspreek. Kijk thuis even of je materiaal vergeten bent terug te brengen. Je kunt het morgen afgeven.|Hello, after sports day a pair of swimming goggles and a stopwatch are missing. I am checking the lending list before contacting people. Check at home for anything you forgot to return. You can hand it in tomorrow.|سلام، بعد از روز ورزش عینک شنا و کرنومتر نیستند. پیش از تماس با افراد فهرست امانت را بررسی می‌کنم. خانه ببینید چیزی را پس نداده‌اید؛ فردا می‌توانید تحویل دهید.
Ik controleer mijn sporttas en laat weten of ik iets vergeten ben. Als ik de spullen vind, breng ik ze morgen terug. Goed dat u eerst de uitleenlijst bekijkt.|I will check my sports bag and say if I forgot anything. If I find the items, I will return them tomorrow. It is good that you check the lending list first.|کیف ورزشی را بررسی می‌کنم و اگر چیزی جا مانده خبر می‌دهم. اگر پیدا کردم فردا برمی‌گردانم. خوب است اول فهرست را بررسی می‌کنید.

Welke activiteit kiest de groep voor deze week?|Which activity does the group choose this week?|گروه این هفته کدام فعالیت را انتخاب می‌کند؟
Een korte wandeling.|A short walk.|پیاده‌روی کوتاه.
Een volledige zwemcursus.|A full swimming course.|دوره کامل شنا.
Dag vrienden, we hebben verschillende voorkeuren. Deze week stel ik een korte wandeling voor; volgende week proberen we iets anders. Koop nog geen jaarabonnement. Laat weten of je nu wilt meewandelen en wat je later wilt proberen.|Hello friends, we have different preferences. This week I suggest a short walk; next week we can try something else. Do not buy an annual pass yet. Say whether you want to walk now and what you would like to try later.|سلام دوستان، سلیقه‌ها فرق دارد. این هفته پیاده‌روی کوتاه و هفته بعد کار دیگری امتحان کنیم. هنوز اشتراک سالانه نخرید. بگویید این بار می‌آیید و بعداً چه می‌خواهید امتحان کنید.
Een korte wandeling doe ik graag mee. Volgende week wil ik zwemmen proberen. Eerst enkele activiteiten uitproberen helpt mij kiezen voordat ik een lang abonnement neem.|I would enjoy joining a short walk. Next week I would like to try swimming. Trying several activities helps me choose before taking a long membership.|برای پیاده‌روی کوتاه می‌آیم. هفته بعد شنا را دوست دارم امتحان کنم. امتحان چند فعالیت کمک می‌کند قبل از اشتراک بلندمدت انتخاب کنم.

Voor welke activiteiten is vooraf inschrijven nodig?|Which activities need advance registration?|برای کدام فعالیت‌ها ثبت‌نام قبلی لازم است؟
Schaatsen en roeien.|Skating and rowing.|اسکیت روی یخ و پاروزنی.
Dansen en tennissen.|Dancing and tennis.|رقص و تنیس.
Goedemorgen, welkom op onze open dag. Voor schaatsen en roeien moet u vooraf inschrijven. Bekijk het programma voordat u twee proeflessen kiest. Bij het onthaal kunt u vragen welke kleding nodig is.|Good morning, welcome to our open day. Skating and rowing require advance registration. Check the programme before choosing two trial lessons. You can ask at reception what clothing you need.|صبح بخیر، به روز باز ما خوش آمدید. اسکیت روی یخ و پاروزنی ثبت‌نام قبلی می‌خواهند. پیش از انتخاب دو جلسه آزمایشی برنامه را ببینید. از پذیرش بپرسید چه لباسی لازم است.
Ik bekijk eerst het programma en controleer de inschrijving voor schaatsen en roeien. Daarna kies ik mijn proeflessen. Kunt u uitleggen welke kleding ik daarvoor moet meebrengen?|I will check the programme and registration for skating and rowing first. Then I will choose my trial lessons. Could you explain what clothes to bring?|اول برنامه و ثبت‌نام اسکیت و پاروزنی را بررسی می‌کنم. بعد جلسه‌هایم را انتخاب می‌کنم. توضیح می‌دهید چه لباسی بیاورم؟

Waar wacht Daan op de verkeerde plaats?|Where is Daan waiting in the wrong place?|دان کجا اشتباهی منتظر است؟
Op het plein naast het stadhuis.|In the square beside the town hall.|در میدان کنار شهرداری.
Bij de ingang van de bibliotheek.|At the library entrance.|جلوی ورودی کتابخانه.
Hallo begeleider, Daan hier. Ik sta op het plein naast het stadhuis en zie het park. Misschien ben ik op de verkeerde plaats, want de uitnodiging zegt bibliotheek. Kunt u een herkenbaar punt bij de juiste startplaats noemen?|Hello leader, Daan here. I am in the square beside the town hall and can see the park. I may be in the wrong place because the invitation says library. Could you name a landmark at the correct starting point?|سلام راهنما، دان هستم. در میدان کنار شهرداری‌ام و پارک را می‌بینم. شاید اشتباه آمده‌ام، چون دعوت کتابخانه را گفته. نشانه مشخصی در نقطه شروع درست می‌گویید؟
De wandeling begint bij de bibliotheek, niet bij het stadhuis. Ik zoek een herkenbaar ontmoetingspunt en leg uit hoe je daar komt. Blijf even waar je bent.|The walk starts at the library, not the town hall. I will find a recognisable meeting point and explain how to reach it. Stay where you are for a moment.|پیاده‌روی از کتابخانه شروع می‌شود، نه شهرداری. نشانه مشخصی پیدا می‌کنم و راه را توضیح می‌دهم. فعلاً همان‌جا بمان.

Waarom wil een deelnemer onderweg afslaan?|Why does one participant want to leave the route?|چرا یکی از شرکت‌کنندگان می‌خواهد از مسیر جدا شود؟
Hij moet later bij de sporthal zijn.|He needs to be at the sports hall later.|بعداً باید در سالن ورزش باشد.
Hij wil het museum helemaal vermijden.|He wants to avoid the museum entirely.|می‌خواهد اصلاً موزه نرود.
Dag begeleider, ik wandel graag mee, maar moet later bij de sporthal zijn. Kunt u op de kaart een afslag tonen waar ik de groep op tijd kan verlaten? Dan kan ik toch een deel van de wandeling volgen.|Hello leader, I would like to join the walk but need to be at the sports hall later. Could you show a turn on the map where I can leave in time? Then I can still join part of the walk.|سلام راهنما، دوست دارم همراه باشم ولی بعداً باید سالن ورزش بروم. روی نقشه نقطه‌ای برای جدا شدن به‌موقع نشان می‌دهید؟ این‌طور بخشی از پیاده‌روی را شرکت می‌کنم.
We bekijken de kaart en jouw vertrektijd samen. Ik wijs de afslag naar de sporthal aan. Laat bij het vertrekken weten dat je daar de groep verlaat.|We will look at the map and your departure time together. I will show the turn towards the sports hall. When leaving, tell us you are leaving the group there.|نقشه و زمان رفتنت را با هم بررسی می‌کنیم. پیچ به سمت سالن را نشان می‌دهم. موقع جدا شدن بگو از همان‌جا گروه را ترک می‌کنی.

Waarom verandert Rosa de volgorde van haar boodschappen?|Why does Rosa change the order of her shopping?|چرا رزا ترتیب خریدها را عوض می‌کند؟
Eén winkel sluit vroeger.|One shop closes earlier.|یکی از فروشگاه‌ها زودتر می‌بندد.
Alle winkels verkopen hetzelfde.|All shops sell the same things.|همه مغازه‌ها یک چیز می‌فروشند.
Hoi, Rosa hier. Eén winkel op mijn lijst sluit veel vroeger dan de andere. Ik ga daar dus eerst heen. De minst dringende aankoop kan tot morgen wachten. Kun je mee controleren welke boodschappen vandaag echt nodig zijn?|Hi, Rosa here. One shop on my list closes much earlier than the others, so I will go there first. The least urgent purchase can wait until tomorrow. Can you help check which things are really needed today?|سلام، رزا هستم. یک مغازه فهرستم خیلی زودتر می‌بندد؛ اول آنجا می‌روم. خرید کم‌اهمیت‌تر تا فردا صبر می‌کند. کمک می‌کنی ببینیم امروز چه واقعاً لازم است؟
We zetten de dringende boodschappen bovenaan en houden rekening met de sluitingsuren. Wat morgen ook kan, halen we later. Zo hoef je niet onnodig te haasten.|We will put urgent purchases first and consider closing times. Anything that can wait can be bought later. You will not need to rush unnecessarily.|خرید فوری را اول می‌گذاریم و ساعت بسته شدن را در نظر می‌گیریم. چیزهای قابل‌انتظار را بعداً می‌گیریم تا بی‌دلیل عجله نکنی.

Wat maakt Ilias' cadeau persoonlijk?|What makes Ilias's gift personal?|چه چیز هدیه الیاس را شخصی می‌کند؟
Een boek over de geboorteplaats van zijn vriend en een kaart.|A book about his friend's birthplace and a card.|کتابی درباره زادگاه دوستش و کارت.
Een duur boek zonder boodschap.|An expensive book without a message.|کتاب گران بدون پیام.
Dag, Ilias hier. In de kringwinkel vond ik een boek over de geboorteplaats van mijn vriend. Ik wil er een persoonlijke kaart bij schrijven in plaats van iets duurs te kopen. Wil je me helpen een passende boodschap te formuleren?|Hello, Ilias here. In the second-hand shop I found a book about my friend's birthplace. I want to write a personal card rather than buy something expensive. Could you help me phrase a suitable message?|سلام، الیاس هستم. در دست‌دوم‌فروشی کتابی درباره زادگاه دوستم پیدا کردم. به‌جای چیز گران، کارت شخصی می‌نویسم. کمک می‌کنی پیام مناسبی بنویسم؟
Dat boek heeft een duidelijke band met je vriend. Schrijf op de kaart waarom je juist dat boek koos. Een persoonlijke herinnering maakt de boodschap warmer dan alleen een algemene groet.|That book has a clear connection to your friend. Write why you chose that book. A personal memory makes the message warmer than a general greeting.|کتاب ارتباط روشنی با دوستت دارد. روی کارت بنویس چرا همین کتاب را انتخاب کردی. خاطره شخصی پیام را از سلام کلی گرم‌تر می‌کند.

Welke fout vindt Maya in haar bestand?|What error does Maya find in her file?|مایا چه اشتباهی در فایل می‌بیند؟
De naam van een andere afzender.|Another sender's name.|نام فرستنده دیگر.
Een ontbrekende foto van de winkel.|A missing shop photo.|عکس گمشده فروشگاه.
Hoi Maya, in het oude voorbeeld staat nog de naam van een andere afzender. Pas de gegevens aan voordat je het bestand verstuurt. Controleer ook het e-mailadres, de ontvanger en het onderwerp. Open de bijlage daarna nog één keer.|Hi Maya, the old template still has another sender's name. Change the details before sending the file. Check the email address, recipient and subject too. Then open the attachment once more.|سلام مایا، الگوی قبلی هنوز نام فرستنده دیگری دارد. قبل از ارسال اطلاعات را عوض کن. نشانی ایمیل، گیرنده و موضوع را هم بررسی کن؛ بعد پیوست را یک بار باز کن.
Ik vervang de oude afzendergegevens en controleer de ontvanger. Daarna open ik het bestand opnieuw. Zo zie ik of het bericht en de bijlage echt bij deze verzending passen.|I will replace the old sender details and check the recipient. Then I will reopen the file to see whether the message and attachment fit this sending.|اطلاعات فرستنده قبلی را عوض و گیرنده را بررسی می‌کنم. بعد فایل را باز می‌کنم تا ببینم پیام و پیوست واقعاً مناسب این ارسال هستند.

Hoe maakt Tarek de bestandsversie herkenbaar?|How does Tarek make the file version identifiable?|طارق نسخه فایل را چطور مشخص می‌کند؟
Hij geeft het bestand een datum.|He adds a date to the file.|برای فایل تاریخ می‌گذارد.
Hij verwijdert de bestandsnaam.|He removes the file name.|نام فایل را پاک می‌کند.
Dag Tarek, ik weet niet welke versie achter jouw link staat. Geef het bestand een duidelijke datum en zet je naam onder het bericht. Stuur de link daarna opnieuw, zodat ik de juiste versie kan openen.|Hello Tarek, I do not know which version your link points to. Give the file a clear date and put your name under the message. Then resend the link so I can open the correct version.|سلام طارق، نمی‌دانم لینکت کدام نسخه است. تاریخ روشن به فایل بده و نامت را زیر پیام بگذار. بعد لینک را بفرست تا نسخه درست را باز کنم.
Ik voeg een datum toe aan de bestandsnaam en zet mijn naam onder het nieuwe bericht. Daarna stuur ik dezelfde bedoelde versie met een duidelijkere linkbeschrijving.|I will add a date to the file name and put my name under the new message. Then I will send the intended version with a clearer link description.|تاریخ به نام فایل اضافه می‌کنم و نامم را زیر پیام تازه می‌گذارم. بعد نسخه موردنظر را با توضیح روشن‌تر لینک می‌فرستم.

Hoe toont de groep het programma zonder printerpapier?|How does the group show the programme without printer paper?|گروه بدون کاغذ چاپگر برنامه را چطور نشان می‌دهد؟
Met de projector.|With the projector.|با ویدئوپروژکتور.
Door de uitnodiging te verwijderen.|By deleting the invitation.|با حذف دعوت‌نامه.
Hallo team, de printer heeft geen papier. We tonen het programma daarom met de projector. Wie een papieren versie nodig heeft, kan dat melden; die regelen we later. Kun je controleren of iedereen het scherm kan lezen?|Hello team, the printer has no paper. We will therefore show the programme with the projector. Anyone needing a paper version can say so and we will arrange it later. Can you check that everyone can read the screen?|سلام گروه، چاپگر کاغذ ندارد؛ برنامه را با ویدئوپروژکتور نشان می‌دهیم. هرکس نسخه کاغذی می‌خواهد بگوید تا بعد تهیه کنیم. بررسی می‌کنی همه صفحه را بخوانند؟
Ik controleer of de letters op het scherm groot genoeg zijn. Ik vraag ook wie papier nodig heeft en geef die namen door, zodat niemand de informatie mist.|I will check that the letters on screen are large enough. I will ask who needs paper and pass on the names so nobody misses the information.|اندازه حروف صفحه را بررسی می‌کنم. می‌پرسم چه کسی کاغذ لازم دارد و نام‌ها را می‌دهم تا کسی اطلاعات را از دست ندهد.

Hoe meldt Fien dat ze niets hoort?|How does Fien report that she cannot hear anything?|فین چطور خبر می‌دهد چیزی نمی‌شنود؟
Ze schrijft in de chat.|She writes in the chat.|در چت می‌نویسد.
Ze drukt de uitnodiging af.|She prints the invitation.|دعوت را چاپ می‌کند.
Hoi Fien, ik zag je bericht in de chat dat je niets hoort. Het beeld werkt wel. Kijk bij de geluidskeuze welke luidspreker geselecteerd is. Schrijf daarna in de chat of je ons kunt horen.|Hi Fien, I saw your chat message saying you cannot hear anything. The video does work. Check which speaker is selected in the sound settings. Then write in the chat whether you can hear us.|سلام فین، پیام چتت را دیدم که چیزی نمی‌شنوی. تصویر کار می‌کند. در تنظیم صدا ببین کدام بلندگو انتخاب شده. بعد در چت بنویس ما را می‌شنوی یا نه.
Ik controleer eerst de gekozen luidspreker. Tot het geluid werkt, gebruik ik de chat om te antwoorden. Daarna laat ik weten of ik jullie weer kan horen.|I will check the selected speaker first. Until sound works I will use the chat to reply. Then I will say whether I can hear you again.|اول بلندگوی انتخابی را بررسی می‌کنم. تا صدا درست شود از چت جواب می‌دهم. بعد خبر می‌دهم دوباره می‌شنوم یا نه.

Welke betaling moet Elise nog doen?|Which payment must Elise still make?|الیز هنوز کدام پرداخت را باید انجام دهد؟
De huur.|The rent.|اجاره.
Een al betaalde treinkaart.|An already paid train ticket.|بلیت قطاری که پرداخت شده.
Dag, Elise hier. Mijn saldo lijkt hoog na mijn loon, maar de huur moet nog betaald worden. Ook mijn spaargeld staat op die rekening. Ik zet de vaste bedragen eerst apart in mijn overzicht. Wil je mee controleren of mijn berekening volledig is?|Hello, Elise here. My balance looks high after payday, but rent still needs paying. My savings are in that account too. I will first separate fixed amounts in my overview. Can you check whether my calculation is complete?|سلام، الیز هستم. بعد از حقوق موجودی بالا دیده می‌شود، اما اجاره هنوز پرداخت نشده و پس‌انداز هم همان حساب است. اول مبلغ‌های ثابت را در جدول جدا می‌کنم. کامل بودن محاسبه را بررسی می‌کنی؟
We bekijken welke vaste bedragen al in je overzicht staan. Het saldo alleen zegt niet wat je vrij kunt uitgeven. Voeg ontbrekende betalingen toe voordat je een aankoop plant.|We will see which fixed amounts are listed. The balance alone does not show what is freely available. Add missing payments before planning a purchase.|می‌بینیم کدام هزینه ثابت در جدول هست. موجودی به‌تنهایی پول آزاد را نشان نمی‌دهد. پیش از خرید پرداخت‌های جاافتاده را اضافه کن.

Waarom wacht Karim met de aankoop?|Why does Karim postpone the purchase?|چرا کریم خرید را عقب می‌اندازد؟
De verwachte terugbetaling is nog niet binnen.|The expected refund has not arrived.|بازپرداخت موردانتظار نرسیده.
De winkel geeft geen enkele korting.|The shop offers no discount at all.|فروشگاه هیچ تخفیفی نمی‌دهد.
Goedendag, ik zie de korting, maar er is ook een waarborg. Mijn verwachte terugbetaling is nog niet binnen. Daarom koop ik vandaag nog niet. Kunt u schriftelijk uitleggen wanneer en onder welke voorwaarden de waarborg terugkomt?|Hello, I see the discount but there is also a deposit. My expected refund has not arrived yet, so I will not buy today. Could you explain in writing when and under what conditions the deposit is returned?|سلام، تخفیف را می‌بینم ولی ودیعه هم هست. بازپرداخت موردانتظارم نرسیده، پس امروز نمی‌خرم. کتبی توضیح می‌دهید ودیعه چه وقت و با چه شرایطی برمی‌گردد؟
Ik vraag de juiste voorwaarden voor u op en geef die schriftelijk mee. U kunt de totale uitgave rustig bekijken. Ik zal geen terugbetaling beloven zonder de voorwaarden te controleren.|I will obtain the correct conditions and give them in writing. You can review the total expense. I will not promise a refund without checking the conditions.|شرایط درست را می‌پرسم و کتبی می‌دهم. با آرامش کل هزینه را بررسی می‌کنید. بدون بررسی شرایط قول بازپرداخت نمی‌دهم.

Waarom maakt de vrijwilliger een apart bord bij de boeken?|Why does the volunteer make a separate sign by the books?|چرا داوطلب کنار کتاب‌ها تابلو جدا می‌گذارد؟
Om duidelijk te maken wat gratis geruild mag worden.|To clarify what may be swapped free.|برای روشن کردن موارد مبادله رایگان.
Om aan te geven welke boeken verkocht worden.|To show which books are being sold.|برای نشان دادن کتاب‌های فروشی.
Dag vrijwilliger, de boeken staan tussen de planten en bezoekers weten niet wat bij de gratis ruil hoort. Kun jij een apart bord maken? Zet duidelijk waar de boekenruil is en welke spullen daarvoor bedoeld zijn.|Hello volunteer, the books are among the plants and visitors do not know what belongs to the free swap. Could you make a separate sign? Clearly show where the book swap is and which items are meant for it.|سلام داوطلب، کتاب‌ها بین گیاهان‌اند و مردم نمی‌دانند چه چیز مبادله رایگان است. تابلو جدا درست می‌کنی؟ محل مبادله کتاب و وسایل مربوط را روشن نشان بده.
Ik maak een duidelijk bord voor de boekenruil en zet het bij de juiste tafel. Daarna vraag ik een bezoeker of het verschil met de rommelmarkt duidelijk is.|I will make a clear sign for the book swap and place it by the right table. Then I will ask a visitor whether the difference from the flea market is clear.|تابلو روشن برای مبادله کتاب می‌سازم و کنار میز درست می‌گذارم. بعد از بازدیدکننده می‌پرسم تفاوتش با بازار دست‌دوم روشن است یا نه.

Hoe verlaagt de groep de druk op drie vrijwilligers?|How does the group reduce pressure on three volunteers?|گروه فشار روی سه داوطلب را چطور کم می‌کند؟
Door korte taakblokken aan nieuwe helpers te geven.|By offering short task blocks to new helpers.|با دادن بخش‌های کوتاه کار به کمک‌کنندگان تازه.
Door alle activiteiten aan dezelfde drie mensen te geven.|By assigning everything to the same three people.|با سپردن همه کارها به همان سه نفر.
Hallo buurtgroep, drie vrijwilligers doen nu te veel taken tegelijk. We delen het werk op in korte blokken. Wil je één blok helpen bij de maaltijd of taalactiviteit? Zeg welke taak en welk moment voor jou haalbaar zijn.|Hello neighbourhood group, three volunteers are doing too many tasks at once. We are dividing work into short blocks. Would you help with one block at the meal or language activity? Say which task and time suit you.|سلام گروه محله، سه داوطلب کارهای زیادی را هم‌زمان انجام می‌دهند. کار را به بخش کوتاه تقسیم می‌کنیم. یک بخش در غذا یا فعالیت زبان کمک می‌کنی؟ بگو کدام کار و وقت شدنی است.
Ik kan één kort blok bij de taalactiviteit helpen. Laat weten wat er precies moet gebeuren en hoe lang het duurt. Zo neem ik een duidelijke taak over.|I can help with one short block at the language activity. Tell me exactly what needs doing and how long it takes so I can take over a clear task.|می‌توانم یک بخش کوتاه فعالیت زبان کمک کنم. بگویید دقیقاً چه باید کرد و چقدر طول می‌کشد تا وظیفه روشن بگیرم.

Welke vaardigheid oefent Els zelden?|Which skill does Els practise rarely?|الس کدام مهارت را کم تمرین می‌کند؟
Schrijven.|Writing.|نوشتن.
Lezen.|Reading.|خواندن.
Hoi Els, je leest vaak en spreekt soms, maar schrijft zelden. Je agenda toont ook dagen zonder oefening. Kies voor elke vaardigheid een klein doel. Zeg precies hoe vaak je het wilt doen in plaats van meteen elke dag te beloven.|Hi Els, you read often and speak sometimes but rarely write. Your calendar also shows days without practice. Choose a small goal for each skill. Say exactly how often instead of immediately promising every day.|سلام الس، زیاد می‌خوانی و گاهی حرف می‌زنی، اما کم می‌نویسی. تقویمت روز بدون تمرین هم دارد. برای هر مهارت هدف کوچکی انتخاب کن و دقیق بگو چندبار، نه اینکه فوراً هرروز قول بدهی.
Ik maak een haalbaar doel voor schrijven, omdat ik dat nu zelden doe. Daarna bekijk ik mijn agenda en kies vaste momenten. Mijn leesgewoonte beschrijf ik apart.|I will set a manageable writing goal because I rarely write now. Then I will check my calendar and choose regular times. I will describe reading habits separately.|برای نوشتن هدف شدنی می‌گذارم چون الان کم می‌نویسم. بعد تقویم را می‌بینم و زمان ثابت انتخاب می‌کنم. عادت خواندن را جدا توضیح می‌دهم.

Welk gegeven ontbreekt bij het woord morgen?|What information is missing beside the word tomorrow?|کنار واژه فردا چه اطلاعاتی کم است؟
Een precieze datum.|An exact date.|تاریخ دقیق.
De maandelijkse taakverdeling.|The monthly task allocation.|تقسیم کار ماهانه.
Dag organisator, in het bericht staat morgen, maar geen datum. Ik lees het pas vanavond en weet niet wanneer u het geschreven hebt. Wilt u de precieze datum toevoegen? Dan blijft de afspraak ook later duidelijk.|Hello organiser, the message says tomorrow but has no date. I am only reading it this evening and do not know when you wrote it. Could you add the exact date so the arrangement stays clear later?|سلام برگزارکننده، پیام «فردا» دارد ولی تاریخ ندارد. من تازه امشب می‌خوانم و نمی‌دانم کی نوشته‌اید. تاریخ دقیق را اضافه می‌کنید تا بعداً هم قرار روشن بماند؟
